AA 	85.3 	73.4 	63.9 	55.9 	49.2 	43.6 	38.8 	34.7 	31.1
AKs 	67.0 	50.7 	41.4 	35.4 	31.1 	27.7 	25.0 	22.7 	20.7
AK 	65.4 	48.2 	38.6 	32.4 	27.9 	24.4 	21.6 	19.2 	17.2
AQs 	66.1 	49.4 	39.9 	33.7 	29.4 	26.0 	23.3 	21.1 	19.3
AQ 	64.5 	46.8 	36.9 	30.4 	25.9 	22.5 	19.7 	17.5 	15.5
AJs 	65.4 	48.2 	38.5 	32.2 	27.8 	24.5 	22.0 	19.9 	18.1
AJ 	63.6 	45.6 	35.4 	28.9 	24.4 	21.0 	18.3 	16.1 	14.3
ATs 	64.7 	47.1 	37.2 	31.0 	26.7 	23.5 	21.0 	18.9 	17.3
A9s 	63.0 	44.8 	34.6 	28.4 	24.2 	21.1 	18.8 	16.9 	15.4
A8s 	62.1 	43.7 	33.6 	27.4 	23.3 	20.3 	18.0 	16.2 	14.8
A7s 	61.1 	42.6 	32.6 	26.5 	22.5 	19.6 	17.4 	15.7 	14.3
A6s 	60.0 	41.3 	31.4 	25.6 	21.7 	19.0 	16.9 	15.3 	14.0
A5s 	59.9 	41.4 	31.8 	26.0 	22.2 	19.6 	17.5 	15.9 	14.5
A4s 	58.9 	40.4 	30.9 	25.3 	21.6 	19.0 	17.0 	15.5 	14.2
A3s 	58.0 	39.4 	30.0 	24.6 	21.0 	18.5 	16.6 	15.1 	13.9
A2s 	57.0 	38.5 	29.2 	23.9 	20.4 	18.0 	16.1 	14.6 	13.4
KK 	82.4 	68.9 	58.2 	49.8 	43.0 	37.5 	32.9 	29.2 	26.1
KQs 	63.4 	47.1 	38.2 	32.5 	28.3 	25.1 	22.5 	20.4 	18.6
KQ 	61.4 	44.4 	35.2 	29.3 	25.1 	21.8 	19.1 	16.9 	15.1
KJs 	62.6 	45.9 	36.8 	31.1 	26.9 	23.8 	21.3 	19.3 	17.6
KJ 	60.6 	43.1 	33.6 	27.6 	23.5 	20.2 	17.7 	15.6 	13.9
KTs 	61.9 	44.9 	35.7 	29.9 	25.8 	22.8 	20.4 	18.5 	16.9
K9s 	60.0 	42.4 	32.9 	27.2 	23.2 	20.3 	18.1 	16.3 	14.8
K8s 	58.5 	40.2 	30.8 	25.1 	21.3 	18.6 	16.5 	14.8 	13.5
K7s 	57.8 	39.4 	30.1 	24.5 	20.8 	18.1 	16.0 	14.5 	13.2
K6s 	56.8 	38.4 	29.1 	23.7 	20.1 	17.5 	15.6 	14.0 	12.8
K5s 	55.8 	37.4 	28.2 	23.0 	19.5 	17.0 	15.2 	13.7 	12.5
K4s 	54.7 	36.4 	27.4 	22.3 	19.0 	16.6 	14.8 	13.4 	12.3
K3s 	53.8 	35.5 	26.7 	21.7 	18.4 	16.2 	14.5 	13.1 	12.1
K2s 	52.9 	34.6 	26.0 	21.2 	18.1 	15.9 	14.3 	13.0 	11.9
QQ 	79.9 	64.9 	53.5 	44.7 	37.9 	32.5 	28.3 	24.9 	22.2
QJs 	60.3 	44.1 	35.6 	30.1 	26.1 	23.0 	20.7 	18.7 	17.1
QJ 	58.2 	41.4 	32.6 	26.9 	22.9 	19.8 	17.3 	15.3 	13.7
JJ 	77.5 	61.2 	49.2 	40.3 	33.6 	28.5 	24.6 	21.6 	19.3
JTs 	57.5 	41.9 	33.8 	28.5 	24.7 	21.9 	19.7 	17.9 	16.5
TT 	75.1 	57.7 	45.2 	36.4 	30.0 	25.3 	21.8 	19.2 	17.2
T9s 	54.3 	38.9 	31.0 	26.0 	22.5 	19.8 	17.8 	16.2 	14.9
99 	72.1 	53.5 	41.1 	32.6 	26.6 	22.4 	19.4 	17.2 	15.6
98s 	51.1 	36.0 	28.5 	23.6 	20.2 	17.8 	15.9 	14.5 	13.4
88 	69.1 	49.9 	37.5 	29.4 	24.0 	20.3 	17.7 	15.8 	14.4
87s 	48.2 	33.9 	26.6 	22.0 	18.9 	16.7 	15.0 	13.7 	12.7
77 	66.2 	46.4 	34.4 	26.8 	21.9 	18.6 	16.4 	14.8 	13.7
76s 	45.7 	32.0 	25.1 	20.8 	18.0 	15.9 	14.4 	13.2 	12.3
66 	63.3 	43.2 	31.5 	24.5 	20.1 	17.3 	15.4 	14.0 	13.1
65s 	43.2 	30.2 	23.7 	19.7 	17.0 	15.2 	13.8 	12.7 	11.9
55 	60.3 	40.1 	28.8 	22.4 	18.5 	16.0 	14.4 	13.2 	12.3
44 	57.0 	36.8 	26.3 	20.6 	17.3 	15.2 	13.9 	12.9 	12.1
33 	53.7 	33.5 	23.9 	19.0 	16.2 	14.6 	13.5 	12.6 	12.0
22 	50.3 	30.7 	22.0 	17.8 	15.5 	14.2 	13.3 	12.5 	12.0
